视频标题,发布时间,时长,up主,up主mid,播放量,弹幕数,评论数,收藏量,投币量,转发数,历史排名,点赞数,分辨率,发布地点,BV号
上海有些出租车挑客拒载？吃相实属难看！作为自己的家乡真希望此类有损城市名片的事情越来越少！也希望能有越来越多优秀本分的司机出现，让良币驱逐劣币。,1719654599,318,superB太,85754245,4191097,12772,20984,32239,152681,10773,1,564788,1080x1920,江苏,BV1jJ4m1u7r5
挑战一次花光¥100000块，能否买空便利店，所有的零食？,1719567812,450,Meetfood觅食,447317111,7507209,14406,4752,101038,418167,6123,1,425129,3840x2160,陕西,BV11i421a7wD
火柴人 VS 几何（Geometry）,1719664395,557,火柴人AlanBecker,519253600,2060101,19601,5211,119746,163549,30418,3,249942,1920x1080,北京,BV1hs421T7g8
王妈《大结局篇》！大家想看番外吗？,1719652878,661,七颗猩猩QKXX,1659651634,1762805,11178,23636,27502,49073,11388,4,254590,1080x1920,湖北,BV1YZ421M74y
《绝区零》艾莲角色PV | 拜托了，艾莲大人！,1719720006,745,绝区零,1636034895,2741688,8100,9372,63333,169490,36318,5,247489,1920x1080,上海,BV1MH4y1w7pT
耗时100天，我们造了台载人地效飞行器，4年前的梦想终于实现了！,1719478800,747,魔界造物,74529609,3443496,8638,5138,80689,188819,9147,3,232992,3840x2160,江西,BV1mw4m1e7y3
都说1不能除以0，如果我硬要除呢？,1719547053,178,毕的二阶导,489763089,2003422,4111,4803,46771,10368,8692,7,239932,1080x1920,浙江,BV1SS411w7CF
我又学会了一项民间绝技，火壶,1719650375,276,江寻千,1895195099,730328,2609,2451,29269,106683,6243,8,227951,1080x1920,广东,BV1Px4y187nX
世间万物，拼凑成了我,1719486300,68,樱桃马天妮,1019455982,2416652,1075,3507,47909,38391,9522,7,415020,1080x1920,江苏,BV15E421N7ts
暴打柠檬能打到红温？,1719659564,125,姜峰真的苟,44688866,2684585,1056,901,60052,4624,6247,10,290774,1080x1920,广东,BV19Z421M7QJ
《小杨有约01#》：小马院长,1719633600,932,小杨Johnson,3178005,1272530,16659,4573,34062,83077,2709,10,167687,1920x1080,上海,BV1sM4m1m7M5
猫！！！！,1719576000,540,大福咕咕,38968617,2502767,4074,1537,57254,63111,2880,12,142723,1920x1080,北京,BV1Kw4m1e7FW
"售价10,000元的MC周边，值得吗？【游戏之外】",1719570293,376,史蒂猪StevenPig,390527713,2050945,2930,1044,49455,64511,1596,12,151504,2560x1440,贵州,BV1HM4m1m7xz
小潮team足球杯,1719486827,1495,小潮team,623906369,2418561,19205,4161,59475,79124,4466,6,194852,1920x1080,上海,BV1qM4m1m781
《恋爱军师》,1719583500,103,Yurin_幽陵,1546121595,1308840,1336,2056,71041,20578,14112,13,254759,1080x1920,广西,BV1AH4y1w7en
坚强的女孩和善良的大学生们的双向奔赴。,1719565200,245,良田田田,480959917,806998,1381,1940,14301,103597,2598,16,203788,1440x2560,浙江,BV1aJ4m1T7Ve
【干货】如何下载bilibili,1719547442,87,闪电侠-flash,482213447,1784282,2419,5415,22321,8041,23826,17,306045,1080x1904,陕西,BV1pf421B7xm
《一 镜 到 底》鬼修女破碎面具，破碎速通！,1719480254,405,叶开叶师傅,10126216,4089942,1417,495,45546,4280,1762,18,131331,3840x2160,山东,BV1Xy411z7kW
葫芦娃 你怎么了！,1719657900,1255,鲤鱼Ace,15634833,4115995,12875,1724,93593,14887,1054,19,56898,1920x1080,吉林,BV1Br421F7Q4
千万别这样洗猫会应激！给猫洗澡正确方式！,1719483445,375,猫奴补习班,397194593,4474975,1608,1960,64366,4032,3098,20,99900,1920x1080,广东,BV1vS411A7y5
【奥运冠军的脊医博士】十字架胸椎拉伸酷刑 NONONO,1719568244,31,脊医博士鹏哥,408907896,4240846,295,1328,145624,9727,5101,21,353699,1080x1920,上海,BV1Rw4m1e7v3
我家闺女真是把梦想展示的淋漓尽致啊,1719483502,13,西安卖电脑的老王,482742517,2665521,1379,9835,53358,15144,1627,21,303250,1440x2560,陕西,BV1ui3CetEJa
全程执法记录仪拍摄！我们拍下了毒品的样子。,1719392400,492,亿点点不一样,407054668,4468317,16150,4345,99436,169312,10641,2,361861,3840x2160,浙江,BV1ZS411w7WX
我买了世界上最经典的狙击枪！AWP警用大狙！狙击界的传奇！,1719565500,604,老李船长,6336952,2273120,6266,1528,33738,36557,1437,24,114893,3840x2160,美国,BV1DS421d7PB
【星铁】流萤：和新同事相处很融洽,1719566073,142,方老师来啦,458154784,1452328,664,479,43404,5751,1736,25,187444,1920x1080,四川,BV1tS421d7HA
《催婚现状》,1719649433,222,阿宅寒星星,609574224,1686632,2354,2916,18715,8076,8752,26,194848,1080x1920,河南,BV1Bf421B7ny
【亮记生物鉴定】网络热传生物鉴定52,1719395257,644,无穷小亮的科普日常,14804670,6003049,21758,6049,53846,61198,11728,1,562434,1080x1920,北京,BV1jz42187cn
如果想我了，就去看天上最亮的星星,1719463318,133,一直可矮的修勾,437979684,2383149,1075,942,64819,9177,2400,27,177299,1920x1080,河北,BV1NS411A7rx
🔥仲夏萤火，你选择谁？🔥【动画MEME】,1719482534,38,在下小狐兔,1118188465,927597,1004,1012,123342,67772,7744,22,262080,1920x1080,浙江,BV1ez421z7a2
这也太踏实了。。。。,1719565200,38,阿瘫呀,3493104466266852,2476438,575,1596,26976,2302,4338,30,294295,1080x1920,广东,BV1jS421o7AR
集体疯狂！价格几年不动的神作们在夏促居然全部新史低1折？！【Steam夏日特卖史低游戏推荐】6.28-7.12,1719525438,545,初夏ChuXXia,4186021,2146834,6923,5607,42135,17982,28914,28,99639,1920x1080,浙江,BV1Pm421G7Gy
"大庆赶海,退潮后遇见一只切成方块的大海蜇，还有一片沙马蟹",1719646969,337,大庆赶海,524704055,4011548,2582,1144,8028,2453,1668,32,164722,1920x1080,江苏,BV1kE421P7CQ
这要是给虎子们喂挑食了可该怎么办呐！,1719569701,131,大猫饲养员breeder,1849523654,1301104,1485,3502,9336,45253,1383,33,199033,2160x3840,河南,BV1wx4y187XF
99%的人熟悉又陌生的童话故事，一定不要让小孩子看，它是属于成人的！,1719572911,795,长片短解,604710494,3279776,783,459,53991,5871,1728,34,80244,1920x1080,河南,BV1ry411z7Uq
【惨】因为我而选了机械？张雪峰都把我当反面教材了。你后悔选的专业吗？,1719398121,198,逗比罐头,1439941526,3887252,2348,7320,39242,30824,14190,2,450645,1920x1080,广东,BV1h1421C7mD
进化豆！植物进化啦！,1719490079,311,潜艇伟伟迷,97213827,2574165,3798,3130,8729,12841,2647,14,226192,1760x1200,湖北,BV1WZ421g7Uo
一段动漫打戏，竟然全是中国功夫的杀人技！纯享版,1719636647,539,李小龙谜之传人,222074908,1234457,2618,1419,39529,8834,5707,37,129040,1920x1078,内蒙古,BV1ES411A7MY
让鱼离水不死的办法-鲁智深科普,1719492368,108,喵的课堂,22109096,2167043,665,2297,48006,2832,4015,27,193845,1080x1920,广东,BV171421r7ob
什么样的英雄，被人五年来当成怪人！,1719630000,79,呆小砖,1413338945,1557167,1886,678,19321,7861,373,39,274982,1080x1920,重庆,BV1kf421B7WM
《当100个研究生回村种地》,1719565200,2396,盗月社食遇记,99157282,887918,8685,1629,19122,85635,5608,38,110831,3840x2160,上海,BV1uS421o7Tr
比荆轲更强的刺客，用一条烤鱼刺杀国君！,1719418787,1936,木鱼水心,927587,3577191,5904,2066,59224,56892,2812,6,265918,1920x1080,北京,BV1jy411q7W5
那条鱼 明明很大啊,1719657695,132,向挽意_,3494365282437767,1681433,1752,2504,24999,4398,2544,42,198439,1080x1920,湖南,BV1uM4m1U7rg
火柴已经买好了，请问魔法在哪里学？,1719459000,139,wuhu动画人空间,59550906,1075388,750,721,40606,22636,4024,31,163455,1920x1080,黑龙江,BV1PM4m1U7Lm
这条作品送给一直热爱舞蹈的自己！毕业快乐,1719566055,47,小麦肤色_,284816271,1627122,622,1598,11502,20456,1877,43,286488,1080x1920,江苏,BV1t1421r7JW
人机升级再升级，3.0版本人机修复了主页异常的bug,1719651890,175,磊哥游戏,268941858,1867957,3869,9170,7539,8895,12864,45,157189,1920x1080,安徽,BV14f421Q7aL
153元的四菜一汤教程。今日食谱：蒜蓉小龙虾，清蒸鲈鱼，笋干烧排骨，清炒秋葵，丝瓜排骨汤！第一次带食材到粉丝家做四菜一汤，做得不好，仅供参考！,1719575965,544,阿蔡美食雕刻,472102908,1403500,2817,2594,9574,11069,1797,46,153730,2160x3840,北京,BV1cS421o7c3
当你开始嫌弃对方，你看到的都是他的缺点。从前说我的可爱变成了幼稚，撒娇变成了任性，坚定变成了偏执。我的意思是，不要嫌弃一直陪你的人，不要陪，一直嫌弃你的人。,1719493784,33,堂堂一个小飞,22919199,2679169,722,1453,29793,3442,9804,41,256987,1920x1080,浙江,BV1pJ4m1T7BG
呀嘞呀嘞~拦不住的Gumayusi~,1719478800,43,T1电子竞技俱乐部,594558993,4209710,2857,10024,30184,46975,74763,28,213994,2160x3840,韩国,BV1v6421Z7FH
《崩坏3》动画短片「成为女子高中生!」,1719632700,251,特效小哥studio,3066511,486958,802,1152,34911,44501,4481,49,90907,1920x1080,浙江,BV1x1421r7yZ
重生成了小婴儿，还多了个青梅竹马,1719394981,4176,圆桌动漫,654552,4927895,2882,341,235927,14642,323,12,39478,1920x1080,上海,BV1AT421Y7Fx
『诡异警示牌』附近有巨型蚊子袭击人类？,1719575432,385,L探员,402157217,4117611,422,216,59948,1817,109,50,15779,1920x1080,江西,BV1xH4y1w7Rz
《兄弟你好香》,1719643402,78,伤心欲茄222,3493260618106936,1504579,1817,2398,15036,9934,17026,52,227206,1080x1920,辽宁,BV1Q1421C7nX
恋与提瓦特空芙篇：我搬家你干嘛也跟着搬家？,1719633785,220,超帅气的强哥,2117316401,1213588,455,725,34389,4821,2623,53,90606,1920x1080,浙江,BV1Bf421Q7gc
挑战在游戏里为40万人建小区？欢迎入住！！,1719633600,398,六月Aurora,23620015,559931,3482,3778,21402,46540,1113,54,89331,1920x1080,陕西,BV1ET421Y7pJ
（这也能解说？！）燃尽！这是我最后的波纹了！热血陀螺争霸赛【6】,1719631800,774,Super也好君,1372433,911525,11437,3436,18484,48084,4553,55,76773,3840x2160,北京,BV1dw4m1e71J
超硬核版MC？我们造出世界上「最隐蔽」的基地！？复古物语第六期,1719619200,1324,萝卜吃米洛,5007752,741176,2938,457,14958,34407,369,55,106354,1920x1080,上海,BV1Wn4y1X7LM
【绝区零】公测前能救一个是一个！男女主要反着选？本末倒置【辟谣】,1719546719,465,银子_YIN,214544689,1548132,2484,4872,10841,10565,5335,57,113044,2560x1440,河北,BV1qx4y1472Y
致富经：异形养殖，赋能乡村旅游,1719632702,105,咪克菌,25329626,2649700,3952,5644,26715,11136,37661,58,125347,1920x1080,山东,BV1HE421N7ob
富二代破产有多惨（真的是超级无敌现实啊啊啊啊啊啊）,1719567325,188,萧枭同学,68439967,2875180,296,275,19708,1321,133,58,74070,1080x1920,广东,BV1Qx4y1b7US
随机挑战！135元得啃多少骨头…,1719576114,295,一只黑Q,54911793,3637952,975,283,41983,3837,84,60,21476,1920x1080,浙江,BV1hM4m1m7cb
天生爱打逆风局,1719486724,11,序77,479033035,1314141,410,1232,25716,2503,6643,49,235892,4320x7680,广东,BV19f421B7vy
喜欢索米 这个拦不住的,1719561600,60,害羞7,23237718,749497,713,1486,62908,24540,5338,53,147078,3840x2160,上海,BV17w4m1e7PT
人性能有多丑恶，12岁孤女得到亡父32万赔偿金，亲戚上演夺子大战,1719569672,550,人间放映厅,525382468,945130,7595,3196,9853,4578,1578,63,120634,1920x1080,河南,BV1Fb421p7sF
整蛊！串通丈母娘发现女友偷看的日本帅哥写真…她破防了！,1719572362,598,盖里老哥,285571498,1389661,5176,2154,12030,40557,7572,62,77976,1920x1080,湖北,BV12i421e7jT
"停!!!! 别再抄了! 动物加上y, 本性全暴露的英语根本不是这个意思!!! | 日常英语 | 地道英语 | 帅山姆先生",1719399600,121,帅山姆先生,642892779,3784193,1481,1227,62416,4897,1547,15,223520,1920x1080,英国,BV1HS411A7nz
【鸣潮】乘霄山1.1版本探索100%全收集一条龙，宝箱奇藏攻略，定风铎，伏霜虫！（已完结）,1719553705,7551,在下油甘,403072772,724083,7001,2833,32634,43321,3685,66,40573,2560x1440,湖北,BV1Gx4y187qz
我勒个开拓者夫人啊,1719463752,15,小鹿库库,1905253852,1303466,619,1395,54514,5508,1445,33,256541,1080x1920,浙江,BV1Xx4y1b791
爷爷的癌症自述，会被笑死！,1719551935,77,冲浪达人阿怡,16248639,1414858,568,1100,10542,6534,1507,61,202770,1080x1920,河北,BV1uS421d7kp
当我们误入「MC肉鸽世界」需要不断强化自己才能通关？？！,1719701354,1883,大炒面制造者Cen,14890801,641859,2891,647,12848,27995,1006,69,114804,1920x1080,浙江,BV1TZ421M7rm
我被生物，英语，物理课本轮流殴打！太吓人了,1719529500,952,颜小白靓仔,2053879295,2065728,1217,195,29841,1932,154,70,44380,1414x1080,广东,BV1dZ421M7Kg
一个智障哥哥创造的艺术，当世上仅剩下了我自己,1719372600,135,猫村猫村,11030184,2571951,2236,4027,51070,16085,3914,5,451243,1920x1080,山东,BV1WE421N7fJ
这两个动作骗猫喝水！这下谁还分得清我和爱因斯坦啊,1719565568,10,金渐层JOJO,515014430,3129242,168,705,9927,566,9598,72,187720,1080x1920,北京,BV1BZ421M7sb
圣洁女神被监禁后堕落？主角才是真反派！这游戏还隐藏了什么样的结局？,1719396826,820,超级funky橙子,2314623,1672614,966,447,91194,29894,630,38,84430,3840x2160,上海,BV1br421F7iw
大型记录片【你可以在任何地方看到雪王】，正在为您播出~,1719569796,37,蜜雪冰城官方站,48084221,996594,414,938,14483,1055,1167,74,207714,1080x1920,河南,BV11b421J7Tm
【萌黄一槽】坏了，被顶号了！漩涡博人[桃式显现]全技能爆料！,1719657441,505,火影忍者手游情报君,441897078,1743522,4656,8407,10357,6314,34175,75,82055,1920x1080,广东,BV161421r79v
她愿意陪我吃苦，但我不能一辈子让她吃苦,1719588225,39,猪头与小霞,3546678116223371,1035111,1170,3662,9666,32766,3007,76,185933,1080x1920,广东,BV1rn4y1X71P
善有善豹，恶有恶豹,1719540000,248,维C动物园-,701734634,1204993,1585,773,7757,3319,3129,77,111200,1920x1080,湖南,BV11y411z7VB
【绝区零】公测全角色梯度榜，还不知道练谁？入坑必看！,1719544384,406,粥粥的终极理解,1438375628,744162,2033,1468,23265,22591,3078,78,60436,2560x1440,北京,BV1wx4y1t7pW
团前算卦知乾坤！,1719649800,326,峡谷玄学家-瘤子,3493128455587886,1253732,800,1466,8991,4456,23025,79,104489,1440x2560,福建,BV1X4421Q7CT
“他，因为太过牛逼而变成神话角色的人！”,1719375726,484,海棠家的大肥鱼,34840587,2999767,3530,3780,46203,29572,2867,16,165080,3840x2160,天津,BV19w4m1Y7Vy
逆 天 考 试,1719627900,112,敲萌豹风党,20669779,1980679,656,315,39765,3256,573,81,77553,2560x1080,北京,BV1W1421r79L
情深不寿，慧极必伤，越来越多的人开始觉醒了，但觉醒后好像并不快乐，人生不必想太多，顺其自然就好。 #智慧人生 #情感 #读书,1719485062,43,子论道,3546655198546812,853288,1450,2506,46514,4827,3786,65,152735,1440x1080,黑龙江,BV1qS421d7S5
当你得知上帝是如何分配寿命的,1719645761,53,启明真难99,95888944,1849275,426,2174,17860,3050,5347,83,172757,1920x1080,山东,BV1MS421o7Ef
没想到仅仅是一场意外 就带走了一项非遗,1719478200,141,小万姑娘呀,3546631116950499,642995,319,570,15680,15514,257,83,127267,1080x1920,四川,BV1wS411A7Tx
你还怪有礼貌的嘞......身体不舒服....回家休息？,1719403200,17,申庭护考图图老师,408681697,1512392,147,954,19498,806,6732,58,227303,720x1280,重庆,BV1Bn4y1X7Xc
“昔人已乘黄鹤去……”,1717807044,34,延玺讲历史,1327039787,4574782,9834,3041,182642,668005,2182,64,1276692,1920x1080,山西,BV1wm421L7WL
“人类又偷偷摸摸进化了”,1719567772,115,星雨Starrain,1042277203,1088070,732,749,16980,21373,549,86,105552,1920x1080,四川,BV1Yi421e7mN
哥们，刷个牙啊,1719628534,34,大伟老三,3461562077547431,1950191,192,630,11820,1316,5675,88,186792,1080x1920,北京,BV1Kw4m1e7n9
我嘞个骚刚！大型纪录片《极限生存》食品能吃吗？,1719564600,877,穿毛裤的小拉泽,478691043,1424968,5626,1716,15023,17984,1901,89,57671,1920x1080,山东,BV1cm421G71K
精神状态十分良好,1719624300,61,马克油画,1480357573,1270883,878,681,13399,5366,1072,90,185546,1080x1920,河北,BV1h4421S7gm
挑战把66岁老大爷画成红发疯批帅哥之姑父开门！,1719398791,14,化妆师苍玄玄,3546689554090739,1354638,1124,2550,28458,2078,20048,53,219720,1080x1920,重庆,BV1Rz421B7p9
师徒四人来我龙虾店闹事,1719549299,11,关云长在此_,29988008,1635010,794,2166,24777,5261,13316,92,139543,888x1566,云南,BV1Dz421B7go
【战双帕弥什】新版本「剪身成蝶」PV公开 | 时序回溯，因果交错,1719664200,343,战双帕弥什,382651856,1355453,1797,4229,8714,13432,3320,93,72903,1920x1080,广东,BV11z421B7Zn
【warma/怒九】赌上性命的找不同！,1719633600,433,Warma,53456,590122,2310,1448,20781,20043,953,94,63315,1920x1080,云南,BV1Zm421V7mc
豆瓣8.5！被片名耽误的治愈神作！没考上大学怎么办？《哪啊哪啊神去村》,1719486600,2087,巧克力味的猪肘,1080737422,2307932,1967,428,30852,5508,1112,87,23788,1920x1080,河北,BV1NM4m1U7R9
上班把怨气都扎出去了，下班回来就乖啦,1719487348,10,小文颖灬,443090051,801975,446,1717,24396,6963,2349,68,182894,1080x1440,广东,BV1jS421d7Ci
餐饮界的胖东来？暖心的服务，满满的细节！最后竟然给我吃哭了QAQ,1719568800,786,大祥哥来了,2920960,579433,2318,1750,9891,64327,2540,96,61949,1920x1080,北京,BV1Sx4y1b76U
当你和兄弟们来到诡异公司却「轮椅竞速」!!？非生物因素 第一期！,1719619200,1269,马里奥红叔,680447,698827,2346,405,12608,17516,547,98,83445,1920x1080,上海,BV1Tx4y1t7wy
【Faouzia凡希亚】中文歌首秀！亚亚演绎邓紫棋热单《来自天堂的魔鬼》,1719589325,90,Faouzia凡希亚,628474872,1161713,1132,2713,10344,20887,4930,99,134501,1920x1080,湖南,BV1As421M7m8
探秘法国总统一日三餐！都吃些什么？竟然这么豪华！,1719655200,456,HOLA小测佬,406636263,1003881,4502,609,12823,24406,5177,100,66179,3840x2160,法国,BV1Cy411z7C6
